"Employee Documents","مستندات الموظف"
"Would you like to update Leave Approver and Expense Approver to match Reports To?","هل ترغب في تحديث مُعتمد الإجازات ومُعتمد المصاريف ليطابق التقارير إلى؟"
"Leave Approver and Expense Approver updated to {0}","تم تحديث مُعتمد الإجازات ومُعتمد المصاريف إلى {0}"
"The selected Reports To employee has no User ID. <a href='/app/employee/{0}'>Click here to assign a user</a>.","لا يحتوي الموظف المحدد تحت (التقارير إلى) على رقم مستخدم. <a href='/app/employee/{0}'>انقر هنا لتعيين مستخدم</a>."
"No User ID Found","لم يتم العثور على رقم مستخدم"
"Approvers not changed","لم يتم تغيير المعتمدين"
"Employee is required.","الموظف مطلوب."
"Overtime Date is required.","تاريخ العمل الإضافي مطلوب."
"From Time and To Time are required.","وقت البدء ووقت الانتهاء مطلوبان."
"Employee {0} is not Active.","الموظف {0} غير نشط."
"No active Shift Assignment found for the selected Employee, Shift Type and Overtime Date.","لم يتم العثور على تعيين مناوبة نشط للموظف المحدد ونوع المناوبة وتاريخ العمل الإضافي."
"No active Shift Assignment found for the selected Employee and Overtime Date.","لم يتم العثور على تعيين مناوبة نشط للموظف المحدد وتاريخ العمل الإضافي."
"Multiple active Shift Assignments found for the selected Employee/Date. Please refine the shift selection.","تم العثور على تعيينات مناوبة نشطة متعددة للموظف/التاريخ المحدد. يرجى تحديد المناوبة بدقة."
"Selected Shift Type does not match the employee's active Shift Assignment.","نوع المناوبة المحدد لا يطابق تعيين المناوبة النشط للموظف."
"Overtime hours must be greater than 0.","يجب أن تكون ساعات العمل الإضافي أكبر من 0."
"An overtime request with the same details already exists.","يوجد طلب عمل إضافي بنفس التفاصيل مسبقاً."
"You can only view overtime requests for your own record.","لا يمكنك إلا عرض طلبات العمل الإضافي الخاصة بسجلك."
"Only HR users can approve/reject/cancel overtime requests.","يمكن لمستخدمي الموارد البشرية فقط الموافقة أو الرفض أو الإلغاء لطلبات العمل الإضافي."
"Only Requested overtime requests can be approved.","يمكن الموافقة فقط على طلبات العمل الإضافي بالحالة Requested."
"Only Requested overtime requests can be rejected.","يمكن رفض فقط طلبات العمل الإضافي بالحالة Requested."
"Approved overtime requests cannot be cancelled.","لا يمكن إلغاء طلبات العمل الإضافي الموافق عليها."
"Not permitted.","غير مصرح لك."
"No Employee record is linked to your user.","لا يوجد سجل موظف مرتبط بحساب المستخدم الخاص بك."
"You can only request overtime for your own record.","يمكنك فقط طلب العمل الإضافي لسجلك."
"Duplicate found: {0} already exists for {1} on {2} from {3} to {4}.","تم العثور على سجل مكرر: {0} موجود بالفعل للموظف {1} في {2} من {3} إلى {4}."
"Employee {0} is not active.","الموظف {0} غير نشط."
"Fiscal Year is required","السنة المالية مطلوبة"
"Month","الشهر"
"Number of Employees","عدد الموظفين"
"Total Net Salary","إجمالي صافي الراتب"
"Employee","الموظف"
"Employee Name","اسم الموظف"
"Total","الإجمالي"
"Overtime Request","طلب العمل الإضافي"
"Request Details","تفاصيل الطلب"
"Shift Details","تفاصيل المناوبة"
"Overtime Time","وقت العمل الإضافي"
"Approval","الموافقة"
"Shift Type","نوع المناوبة"
"Shift Assignment","تعيين المناوبة"
"Shift Start Time","وقت بداية المناوبة"
"Shift End Time","وقت نهاية المناوبة"
"From Time","من وقت"
"To Time","إلى وقت"
"Overtime Hours","ساعات العمل الإضافي"
"Reason","السبب"
"Status","الحالة"
"Requested By","تم الطلب بواسطة"
"Requested On","تاريخ الطلب"
"Approved By","تمت الموافقة بواسطة"
"Approved On","تاريخ الموافقة"
"Rejected By","تم الرفض بواسطة"
"Rejected On","تاريخ الرفض"
"Cancelled By","تم الإلغاء بواسطة"
"Cancelled On","تاريخ الإلغاء"
"Manager Remarks","ملاحظات المدير"
"Amended From","مُعدّل من"
"Draft","مسودة"
"Requested","تم الطلب"
"Approved","موافق عليه"
"Rejected","مرفوض"
"Cancelled","ملغى"
"Company","الشركة"
"naming series","سلسلة التسمية"
"Timeline","الخط الزمني"
"HRMS Mods","تعديلات الموارد البشرية"
"Employee Document","مستند الموظف"
"Employee Document Type","نوع مستند الموظف"
"Excuse for Attendance","عذر حضور"
"HR Payment Order","أمر دفع الموارد البشرية"
"HR Payment Type","نوع دفع الموارد البشرية"
"Nationality List","قائمة الجنسيات"
"Petty Cash Request","طلب عهدة نقدية"
"Service Certificate","شهادة خدمة"
"Overtime Request","طلب عمل إضافي"
"Nationality","الجنسية"
"Country","الدولة"
"num_code","الرمز الرقمي"
"alpha_2_code","رمز Alpha-2"
"alpha_3_code","رمز Alpha-3"
"Request Date","تاريخ الطلب"
"Amount","المبلغ"
"Mode of Payment","طريقة الدفع"
"Requester Name","اسم مقدم الطلب"
"Project","المشروع"
"Request Type","نوع الطلب"
"Recurrence","التكرار"
"Journal Entry","قيد اليومية"
"Fulfilment Date","تاريخ الصرف"
"Fulfilled Amount","المبلغ المصروف"
"Accounting Details","التفاصيل المحاسبية"
"Start Date","تاريخ البداية"
"End Date","تاريخ النهاية"
"Description","الوصف"
"Passport/ID No","رقم الجواز/الهوية"
"Job Title","المسمى الوظيفي"
"Grade","الدرجة"
"Department","القسم"
"Issue Date","تاريخ الإصدار"
"Joining Date","تاريخ الانضمام"
"Relieving Date","تاريخ ترك العمل"
"Type Name","اسم النوع"
"Has Expiry Date","له تاريخ انتهاء"
"Naming Series","سلسلة التسمية"
"Date","التاريخ"
"Leave Approver","معتمد الإجازة"
"Payment Type","نوع الدفع"
"Entity name","اسم الجهة"
"Payment Instructions","تعليمات الدفع"
"Pay To","ادفع إلى"
"Employee Related","مرتبط بموظف"
"Bank Payment Number","رقم دفع البنك"
"Attach","إرفاق"
"Payment Due Date","تاريخ استحقاق الدفع"
"Purpose","الغرض"
"Payment Details","تفاصيل الدفع"
"Is Paid","تم الدفع"
"Document Type","نوع المستند"
"Expiry Date","تاريخ الانتهاء"
"Attachment","المرفق"
"Is Signed","موقّع"
"Notes","ملاحظات"
"Once","مرة واحدة"
"Recuring","متكرر"
"Weekly","أسبوعي"
